timestamp,last_price,bid_price,ask_price,bid_volume,ask_volume,volume_24h,high_24h,low_24h,change_24h,price_change_24h,bid_ask_spread,change_24h_normalized,spread_percentage,trend
2025-05-14 20:43:32,104036.59,104031.74,104031.75,3.19454,5.89283,2032061206.200803,104976.25,102811.32,0.473,489.58,-0.00999999999476131,0.00473,-9.612002848960458e-06,bullish
2025-05-14 20:43:34,104031.74,104011.78,104011.79,0.83583,3.42261,2032090950.1786706,104976.25,102811.32,0.442,457.94,-0.00999999999476131,0.00442,-9.612450964255055e-06,bullish
2025-05-14 20:43:36,104007.05,104007.05,104007.06,1.67734,3.56724,2032363803.597066,104976.25,102811.32,0.399,412.92,-0.00999999999476131,0.0039900000000000005,-9.614732842399923e-06,bullish
2025-05-14 20:43:38,104000.0,104027.11,104027.12,7.31923,0.89873,2032398380.1901295,104976.25,102811.32,0.392,405.87,-0.00999999999476131,0.00392,-9.615384610347414e-06,bullish
2025-05-14 20:43:40,104026.53,104023.05,104023.06,0.87842,4.09319,2032526828.2506816,104976.25,102811.32,0.433,448.29,-0.00999999999476131,0.00433,-9.612932388267984e-06,bullish
2025-05-14 20:43:42,104010.0,104023.0,104023.01,1.87293,5.00608,2032510804.0813887,104976.25,102811.32,0.435,450.54,-0.00999999999476131,0.00435,-9.614460143025968e-06,bullish
2025-05-14 20:43:44,104023.0,104024.35,104024.36,2.2794,2.68758,2033594888.5803246,104976.25,102811.32,0.432,447.52,-0.00999999999476131,0.00432,-9.61325860123368e-06,bullish
2025-05-14 20:43:46,104024.35,104033.27,104033.28,3.02869,4.97889,2034279869.532062,104976.25,102811.32,0.428,443.15,-0.00999999999476131,0.00428,-9.613133842952452e-06,bullish
2025-05-14 20:43:48,104033.27,104033.0,104033.01,2.9338,5.84686,2034910240.6030064,104976.25,102811.32,0.436,452.08,-0.00999999999476131,0.00436,-9.61230959553738e-06,bullish
2025-05-14 20:43:50,104033.0,104037.41,104037.42,0.94515,10.1996,2036044428.0810702,104976.25,102811.32,0.436,451.81,-0.00999999999476131,0.00436,-9.612334542655994e-06,bullish
2025-05-14 20:43:53,104036.86,104045.15,104045.16,6.08497,9.98936,2037569650.946074,104976.25,102811.32,0.427,442.74,-0.010000000009313226,0.0042699999999999995,-9.611977917550786e-06,bullish
2025-05-14 20:43:55,104045.15,104058.2,104058.21,4.72425,4.60437,2038436856.0330276,104976.25,102811.32,0.435,451.02,-0.010000000009313226,0.00435,-9.611212064486644e-06,bullish
2025-05-14 20:43:57,104058.2,104067.06,104067.07,3.09288,2.76872,2038790524.8393915,104976.25,102811.32,0.448,464.08,-0.010000000009313226,0.0044800000000000005,-9.610006716734698e-06,bullish
2025-05-14 20:43:59,104067.06,104067.05,104067.06,2.08127,8.77313,2040234117.609086,104976.25,102811.32,0.457,472.94,-0.00999999999476131,0.00457,-9.60918853166536e-06,bullish
2025-05-14 20:44:01,104044.0,104010.0,104010.01,4.43654,1.39124,2044892342.8301444,104976.25,102811.32,0.434,449.88,-0.00999999999476131,0.00434,-9.611318283381367e-06,bullish
2025-05-14 20:44:03,103992.7,103992.7,103992.71,4.61242,1.5423,2048158727.5263176,104976.25,102811.32,0.39,404.03,-0.010000000009313226,0.0039000000000000003,-9.616059597753714e-06,bullish
2025-05-14 20:44:05,103992.7,103992.7,103992.71,0.75376,5.89658,2048283863.018195,104976.25,102811.32,0.386,399.71,-0.010000000009313226,0.00386,-9.616059597753714e-06,bullish
2025-05-14 20:44:07,103974.78,103951.28,103953.01,5e-05,0.18335,2048745733.1390374,104976.25,102811.32,0.366,378.67,-1.7299999999959255,0.00366,-0.0016638650257263592,bullish
2025-05-14 20:44:09,103939.39,103939.39,103939.4,0.86689,2.29464,2048924990.9002428,104976.25,102811.32,0.331,343.28,-0.00999999999476131,0.00331,-9.620991613248173e-06,bullish
2025-05-14 20:44:11,103923.07,103883.01,103883.02,0.00966,4.39866,2048961435.1157715,104976.25,102811.32,0.311,321.78,-0.010000000009313226,0.00311,-9.622502500468111e-06,bullish
2025-05-14 20:44:13,103880.01,103880.01,103880.02,1.43063,7.78039,2049065717.6945097,104976.25,102811.32,0.259,268.37,-0.010000000009313226,0.0025900000000000003,-9.626491188548428e-06,bullish
2025-05-14 20:44:15,103857.15,103798.69,103798.7,2.92937,1.37668,2049338013.5552218,104976.25,102811.32,0.237,245.52,-0.00999999999476131,0.0023699999999999997,-9.628610061763981e-06,bullish
2025-05-14 20:44:17,103789.7,103789.7,103789.71,1.54888,4.47408,2050134096.363832,104976.25,102811.32,0.172,178.07,-0.010000000009313226,0.00172,-9.63486743801478e-06,bullish
2025-05-14 20:44:19,103780.0,103746.37,103746.38,3.21785,1.31943,2050328415.5945804,104976.25,102811.32,0.163,168.37,-0.010000000009313226,0.0016300000000000002,-9.635767979681273e-06,bullish
